"","Source","Target"
"1980","DEMI LOVATO","KIM KARDASHIAN WEST"
"1981","DEMI LOVATO","ROBERT FEGGANS"
"1982","DEMI LOVATO","PERLA HUDSON"
"1983","DEMI LOVATO","ROSARIO DAWSON"
"1984","DEMI LOVATO","ALEXANDER WILLIAM"
"1985","DEMI LOVATO","CODY LINLEY"
"1986","DEMI LOVATO","S A P O R T A"
"1987","DEMI LOVATO","DOUG BROCHU"
"1988","DEMI LOVATO","JACK BARAKAT"
"1989","DEMI LOVATO","SARAH CALI FRANCIS"
"1990","DEMI LOVATO","JORDAN JMAN FRANCIS"
"1991","DEMI LOVATO","HUNTER PARRISH"
"1992","DEMI LOVATO","TEACUP"
"1993","DEMI LOVATO","GREER GRAMMER"
"1994","DEMI LOVATO","BRANDON MYCHAL SMITH"
"1995","DEMI LOVATO","CRISTI WILLIAMS"
"1996","DEMI LOVATO","GENEVIEVE"
"1997","DEMI LOVATO","DALLAS LOVATO"
"1998","DEMI LOVATO","ASHLEYTISDALEFRENCH"
"1999","DEMI LOVATO","KEVIN MCPHERSON"
"2000","DEMI LOVATO","MIKE MANNING"
"2001","DEMI LOVATO","TRAVIS WE THE KINGS"
"2002","DEMI LOVATO","AARON ROTHE"
"2003","DEMI LOVATO","JENNA SCHUBART"
"2004","DEMI LOVATO","TOM FLETCHER"
"2005","DEMI LOVATO","LISA VERONICA"
"2006","DEMI LOVATO","PETE WENTZ "
"2007","DEMI LOVATO","JESSICA VERONICA"
"2008","DEMI LOVATO","MADISON DE LA GARZA"
"2009","DEMI LOVATO","PEREZ HILTON"
"2010","DEMI LOVATO","TIFFANY THORNTON"
"2011","DEMI LOVATO","WILLIAM BECKETT"
"2012","DEMI LOVATO","MARISSA CALLAHAN"
"2013","DEMI LOVATO","NICK SANTINO"
"2014","DEMI LOVATO","TUCKERCAUBLE"
"2015","DEMI LOVATO","JEN BOWKER"
"2016","DEMI LOVATO","ALISHA BOWKER"
"2017","DEMI LOVATO","TAYLOR SWIFT"
"2018","OPRAH WINFREY","CYNTHIA BOND"
"2019","OPRAH WINFREY","RICHARD ROHR, OFM"
"2020","OPRAH WINFREY","JODI SALATA"
"2021","OPRAH WINFREY","COLMAN DOMINGO"
"2022","OPRAH WINFREY","COMMON"
"2023","OPRAH WINFREY","SHAWN ACHOR"
"2024","OPRAH WINFREY","SASHA STONE"
"2025","OPRAH WINFREY","DONNA BRAZILE"
"2026","OPRAH WINFREY","SELMA MOVIE"
"2027","OPRAH WINFREY","VIOLA DAVIS"
"2028","OPRAH WINFREY","ANTHONY K. SHRIVER"
"2029","OPRAH WINFREY","TESSA THOMPSON"
"2030","OPRAH WINFREY","TIM SHRIVER"
"2031","OPRAH WINFREY","STACEYGRIFFITH"
"2032","OPRAH WINFREY","MADONNA BADGER"
"2033","OPRAH WINFREY","JOSH DASPIT"
"2034","OPRAH WINFREY","BRANDON HYNES"
"2035","OPRAH WINFREY","HEATHER HEMMENS"
"2036","OPRAH WINFREY","ELDA GREEN"
"2037","OPRAH WINFREY","TELESHIA DELMAR"
"2038","OPRAH WINFREY","TOWINGA"
"2039","OPRAH WINFREY","ALANIS MORISSETTE"
"2040","OPRAH WINFREY","LEE DANIELS"
"2041","OPRAH WINFREY","AMIT SHAH"
"2042","OPRAH WINFREY","MANISH DAYAL"
"2043","OPRAH WINFREY","PAULO COELHO"
"2044","OPRAH WINFREY","AMY PURDY"
"2045","OPRAH WINFREY","MICHAEL SAM"
"2046","OPRAH WINFREY","NANCY O'DELL"
"2047","OPRAH WINFREY","SHARECARE"
"2048","OPRAH WINFREY","SARA BAREILLES"
"2049","OPRAH WINFREY","BABYFACE EDMONDS "
"2050","OPRAH WINFREY","JUSTIN TIMBERLAKE"
"2051","OPRAH WINFREY","AVA DUVERNAY"
"2052","OPRAH WINFREY","PRABHJIT SINGH"
"2053","OPRAH WINFREY","TRACY MCMILLAN"
"2054","OPRAH WINFREY","STEPHEN M. JONES"
"2055","OPRAH WINFREY","DR. SHEFALI"
"2056","OPRAH WINFREY","MARIEL HEMINGWAY"
"2057","OPRAH WINFREY","VERONICA CHAMBERS"
"2058","OPRAH WINFREY","TRACY POULOS"
"2059","OPRAH WINFREY","SHONDA RHIMES"
"2060","OPRAH WINFREY","LUPITA NYONG'O"
"2061","OPRAH WINFREY","LAUREN ROGERS"
"2062","OPRAH WINFREY","PHARRELL WILLIAMS"
"2063","OPRAH WINFREY","VAISHALI SIRKAY"
"2064","OPRAH WINFREY","_____ O"
"2065","OPRAH WINFREY","TIM NORMAN"
"2066","OPRAH WINFREY","TIFFANY DENEE JONES"
"2067","OPRAH WINFREY","BERSHAN SHAW"
"2068","OPRAH WINFREY","KIYAH WRIGHT"
"2069","OPRAH WINFREY","CHENOA MAXWELL"
"2070","OPRAH WINFREY","IAN BAKER"
"2071","OPRAH WINFREY","CELESTE J MAREK"
"2072","OPRAH WINFREY","LIFE YOU WANT TOUR"
"2073","OPRAH WINFREY","STEVE HARVEY NATION"
"2074","OPRAH WINFREY","KEVIN HART"
"2075","OPRAH WINFREY","ASHLEY BENTON"
"2076","OPRAH WINFREY","SHEENA D. HOUSE"
"2077","OPRAH WINFREY","EMMA SCOUT"
"2078","OPRAH WINFREY","KEN LIKE BARBIE"
"2079","OPRAH WINFREY","MELODY VINNETT"
"2080","OPRAH WINFREY"," #JOANNTWEETDIVA"
"2081","OPRAH WINFREY","ALEX BRYANT"
"2082","OPRAH WINFREY","KEHINDE ADENIRAN"
"2083","OPRAH WINFREY","SHELLY"
"2084","OPRAH WINFREY","VANESSA GRINTS"
"2085","OPRAH WINFREY","SANAA LATHAN"
"2086","OPRAH WINFREY","EARVIN MAGIC JOHNSON"
"2087","OPRAH WINFREY","DERRICK RUTLEDGE "
"2088","OPRAH WINFREY","MICHAEL B JORDAN"
"2089","OPRAH WINFREY","SHAM SANDHU"
"2090","OPRAH WINFREY","REVEREND AL SHARPTON"
"2091","OPRAH WINFREY","MARK NEPO"
"2092","OPRAH WINFREY","MARISA TIGNEY "
"2093","OPRAH WINFREY","ROB BELL"
"2094","OPRAH WINFREY","TERRELL OWENS"
"2095","OPRAH WINFREY","ELIZABETH GILBERT"
"2096","OPRAH WINFREY","ELIZABETH BERKLEY "
"2097","OPRAH WINFREY","TD JAKES"
"2098","OPRAH WINFREY","LINDSAY LOHAN"
"2099","OPRAH WINFREY","TRACEE ELLIS ROSS"
"2100","OPRAH WINFREY","MARIA SHRIVER"
"2101","OPRAH WINFREY","DIANE SAWYER"
"2102","OPRAH WINFREY","STEDMAN GRAHAM"
"2103","OPRAH WINFREY","GEORGIA OWNERS"
"2104","OPRAH WINFREY","CONDOLA RASHAD"
"2105","OPRAH WINFREY","ROBIN ROBERTS"
"2106","OPRAH WINFREY","JURNEE SMOLLETT"
"2107","OPRAH WINFREY","CRYSTAL FOX"
"2108","OPRAH WINFREY","RENEE LAWLESS"
"2109","OPRAH WINFREY","ANGELA ROBINSON"
"2110","OPRAH WINFREY","ZULAY HENAO"
"2111","OPRAH WINFREY","DARMIRRA BRUNSON"
"2112","OPRAH WINFREY","JONATHAN CHASE"
"2113","OPRAH WINFREY","ANDRE HALL"
"2114","OPRAH WINFREY","KENDRA C. JOHNSON"
"2115","OPRAH WINFREY","PALMER WILLIAMS JR."
"2116","OPRAH WINFREY","PATRICE LOVELY"
"2117","OPRAH WINFREY","OWNERS"
"2118","OPRAH WINFREY","JASON COLLINS"
"2119","OPRAH WINFREY","SCOTT GARNER"
"2120","OPRAH WINFREY","MARTHA BECK"
"2121","OPRAH WINFREY","ALEXANDRA WENTWORTH"
"2122","OPRAH WINFREY","BRAD PAVON"
"2123","OPRAH WINFREY","KYM WHITLEY"
"2124","OPRAH WINFREY","SHAYNE TRAVISS"
"2125","OPRAH WINFREY","ALICIA KEYS"
"2126","OPRAH WINFREY","JILL KOENIG"
"2127","OPRAH WINFREY","PANACHE DESAI"
"2128","OPRAH WINFREY","MAYA ANGELOU"
"2129","OPRAH WINFREY","BRENEBROWN"
"2130","OPRAH WINFREY","SEOR DEVLIN "
"2131","OPRAH WINFREY","SHERRY"
"2132","OPRAH WINFREY","STEPHEN DIMMICK"
"2133","OPRAH WINFREY","AMANDEEP"
"2134","OPRAH WINFREY","WILLIAM ENSLEY"
"2135","OPRAH WINFREY","HELEN_OWN"
"2136","OPRAH WINFREY","PAOLO "
"2137","OPRAH WINFREY","SANDY ABRAMS"
"2138","OPRAH WINFREY","LANCE ARMSTRONG"
"2139","OPRAH WINFREY","MISTY GERMANO"
"2140","OPRAH WINFREY","MARQUES WITH A Q"
"2141","OPRAH WINFREY","GENE-MANUEL WHIRLING"
"2142","OPRAH WINFREY","LUISA'S OWN WORLD"
"2143","OPRAH WINFREY","LINDA R KINNELL "
"2144","OPRAH WINFREY","KATHLEEN HENNIGAN"
"2145","OPRAH WINFREY","JUSTIN CAREY"
"2146","OPRAH WINFREY","JAMIE"
"2147","OPRAH WINFREY","RICH CRUSE"
"2148","OPRAH WINFREY","JILL CRUSE"
"2149","OPRAH WINFREY","JACQUELINE JACKSON"
"2150","OPRAH WINFREY","OWN AMBASSADORS"
"2151","OPRAH WINFREY","OWNVIEWERS"
"2152","OPRAH WINFREY","JANET AUTY-CARLISLE"
"2153","OPRAH WINFREY","CANADA'S OWN VIEWERS"
"2154","OPRAH WINFREY","SHELLEY HARRIS, CPCC"
"2155","OPRAH WINFREY","PRASANNA RANGANATHAN"
"2156","OPRAH WINFREY","PHOEBE MONCRIEF"
"2157","OPRAH WINFREY","RUTH KAISER"
"2158","OPRAH WINFREY","3 GOLDEN SISTERS"
"2159","OPRAH WINFREY","THE DAILY OWN"
"2160","OPRAH WINFREY","MICHELE RIGAUD, P.A."
"2161","OPRAH WINFREY","DEVON FRANKLIN"
"2162","OPRAH WINFREY","KARAH H."
"2163","OPRAH WINFREY","KERRY WASHINGTON"
"2164","OPRAH WINFREY","JAMIE FOXX"
"2165","OPRAH WINFREY","HUFFPOSTOWN"
"2166","OPRAH WINFREY","ARIANNA HUFFINGTON"
"2167","OPRAH WINFREY","OPRAH'S LIFECLASS"
"2168","OPRAH WINFREY","SUPER SOUL SUNDAY"
"2169","OPRAH WINFREY","CHERYL RICHARDSON"
"2170","OPRAH WINFREY","CHERYLACTIONJACKSON"
"2171","OPRAH WINFREY","JOEL OSTEEN"
"2172","OPRAH WINFREY","STEPHEN COLBERT"
"2173","OPRAH WINFREY","BEEPS"
"2174","OPRAH WINFREY","JENNIFER HUDSON"
"2175","OPRAH WINFREY","MEGAN CASTRAN"
"2176","OPRAH WINFREY","TONYA  OUIMET"
"2177","OPRAH WINFREY","LONNELL WILLIAMS"
"2178","OPRAH WINFREY","MALIKA GARRETT"
"2179","OPRAH WINFREY","BIONCA"
"2180","OPRAH WINFREY","NADA"
"2181","OPRAH WINFREY","RIHANNA"
"2182","OPRAH WINFREY","TAURENCE ARMSTRONG"
"2183","OPRAH WINFREY","JASMINE"
"2184","OPRAH WINFREY","TIERRA DESTINY REID "
"2185","OPRAH WINFREY","BRITTNEY CAMMACK"
"2186","OPRAH WINFREY","GABRIELLE DOUGLAS"
"2187","OPRAH WINFREY","DR. KIMBERLY S. CLAY"
"2188","OPRAH WINFREY","CHRISHAUNDALEE PEREZ"
"2189","OPRAH WINFREY","CHERYL STRAYED"
"2190","OPRAH WINFREY","DEEPAK CHOPRA"
"2191","OPRAH WINFREY","NICHOLAS KRISTOF"
"2192","OPRAH WINFREY","ECKHART TOLLE"
"2193","OPRAH WINFREY","MARIANNE WILLIAMSON "
"2194","OPRAH WINFREY","LEBRON JAMES"
"2195","OPRAH WINFREY","LIVESTREAM"
"2196","OPRAH WINFREY","TOM O'BRIEN"
"2197","OPRAH WINFREY","RICH CRUSE PHOTO"
"2198","OPRAH WINFREY","DAVID BURTKA"
"2199","OPRAH WINFREY","NEIL PATRICK HARRIS"
"2200","OPRAH WINFREY","SEAN MARTINELLI"
"2201","OPRAH WINFREY","MASTIN KIPP"
"2202","OPRAH WINFREY","MASTIN KIPP"
"2203","OPRAH WINFREY","LISA MARIE PRESLEY"
"2204","OPRAH WINFREY","LADY GAGA"
"2205","OPRAH WINFREY","OCTAVIA SPENCER"
"2206","OPRAH WINFREY","ANNE LAMOTT"
"2207","OPRAH WINFREY","GARRET"
"2208","OPRAH WINFREY","IYANLA VANZANT"
"2209","OPRAH WINFREY","SUZE ORMAN"
"2210","OPRAH WINFREY","JIMMY KIMMEL"
"2211","OPRAH WINFREY","JANE SEYMOUR FONDA"
"2212","OPRAH WINFREY","RAINNWILSON"
"2213","OPRAH WINFREY","RITA WILSON"
"2214","OPRAH WINFREY","TOM HANKS"
"2215","OPRAH WINFREY","TYLER PERRY"
"2216","OPRAH WINFREY","JON SINCLAIR"
"2217","OPRAH WINFREY","MAYA WATSON"
"2218","OPRAH WINFREY","JILL VAN LOKEREN"
"2219","OPRAH WINFREY","PEGGY PANOSH"
"2220","OPRAH WINFREY","HARRIET SEITLER"
"2221","OPRAH WINFREY","ANDREA WISHOM"
"2222","OPRAH WINFREY","ERIK LOGAN"
"2223","OPRAH WINFREY","O THE OPRAH MAGAZINE"
"2224","OPRAH WINFREY","LAURA BERMAN"
"2225","OPRAH WINFREY","ROSIE"
"2226","OPRAH WINFREY","LISALING"
"2227","OPRAH WINFREY","OPRAHWINFREY NETWORK"
"2228","OPRAH WINFREY","NATE BERKUS"
"2229","OPRAH WINFREY","WILL.I.AM"
"2230","OPRAH WINFREY","DR. MEHMET OZ"
"2231","OPRAH WINFREY","MARY J. BLIGE"
"2232","OPRAH WINFREY","LISA ERSPAMER"
"2233","OPRAH WINFREY","RANIA AL ABDULLAH"
"2234","OPRAH WINFREY","HUGH JACKMAN"
"2235","OPRAH WINFREY","JIMMY FALLON"
"2236","OPRAH WINFREY","SHERI SALATA"
"2237","OPRAH WINFREY","SHAQ"
"2238","OPRAH WINFREY","EV WILLIAMS"
"2239","OPRAH WINFREY","ELLEN DEGENERES"
"2240","OPRAH WINFREY","GAYLE KING"
"2241","OPRAH WINFREY","GEORGESTEPHANOPOULOS"
"2242","OPRAH WINFREY","DEMI MOORE"
"2243","OPRAH WINFREY","ASHTON KUTCHER"
"2244","KIM KARDASHIAN WEST","KATI _HLOLOVER"
"2245","KIM KARDASHIAN WEST","KKW"
"2246","KIM KARDASHIAN WEST","MRS.KIMKWEST"
"2247","KIM KARDASHIAN WEST","STEPH SHEP"
"2248","KIM KARDASHIAN WEST","WOMEN OF CHRIST"
"2249","KIM KARDASHIAN WEST","ANDRE LEON TALLEY"
"2250","KIM KARDASHIAN WEST","JADEN SMITH"
"2251","KIM KARDASHIAN WEST","ANNIE LEIBOVITZ"
"2252","KIM KARDASHIAN WEST","VOGUE MAGAZINE"
"2253","KIM KARDASHIAN WEST","KARDASHIAN KIDS"
"2254","KIM KARDASHIAN WEST","MACI"
"2255","KIM KARDASHIAN WEST","KIMKANYEKIMYE"
"2256","KIM KARDASHIAN WEST","MYLEEZA KARDASHIAN"
"2257","KIM KARDASHIAN WEST","JOHN EDWARD"
"2258","KIM KARDASHIAN WEST","EARTH PICS "
"2259","KIM KARDASHIAN WEST","MASTIN KIPP"
"2260","KIM KARDASHIAN WEST","MILEY RAY CYRUS"
"2261","KIM KARDASHIAN WEST","GIOVANNA BATTAGLIA"
"2262","KIM KARDASHIAN WEST","PHARRELL WILLIAMS"
"2263","KIM KARDASHIAN WEST","ANNA DELLO RUSSO"
"2264","KIM KARDASHIAN WEST","BALMAIN"
"2265","KIM KARDASHIAN WEST","EPIC WOMEN"
"2266","KIM KARDASHIAN WEST","OPRAH WINFREY"
"2267","KIM KARDASHIAN WEST","LANVIN"
"2268","KIM KARDASHIAN WEST","LANA DEL REY"
"2269","KIM KARDASHIAN WEST","CR FASHION BOOK"
"2270","KIM KARDASHIAN WEST","DEMI LOVATO"
"2271","KIM KARDASHIAN WEST","UBERFACTS"
"2272","KIM KARDASHIAN WEST","MELANIE BROWN"
"2273","KIM KARDASHIAN WEST","KARDASHIAN BEAUTY"
"2274","KIM KARDASHIAN WEST","GIUSEPPE ZANOTTI "
"2275","KIM KARDASHIAN WEST","NICOLA FORMICHETTI"
"2276","KIM KARDASHIAN WEST","SCOTTY CUNHA"
"2277","KIM KARDASHIAN WEST","JEN ATKIN HAIR"
"2278","KIM KARDASHIAN WEST","ALESSANDRA AMBROSIO"
"2279","KIM KARDASHIAN WEST","ERIC SCHMIDT"
"2280","KIM KARDASHIAN WEST","STYLEDOTCOM"
"2281","KIM KARDASHIAN WEST","HARPER'S BAZAAR"
"2282","KIM KARDASHIAN WEST","BAR REFAELI"
"2283","KIM KARDASHIAN WEST","IHEARTKIM.NET"
"2284","KIM KARDASHIAN WEST","JOE FRANCIS"
"2285","KIM KARDASHIAN WEST","CHRISTINA AGUILERA"
"2286","KIM KARDASHIAN WEST","MICHAEL COSTE"
"2287","KIM KARDASHIAN WEST","KARDASHIAN PEDIA"
"2288","KIM KARDASHIAN WEST","1MARYPHILLIPS"
"2289","KIM KARDASHIAN WEST","DENISE RICH"
"2290","KIM KARDASHIAN WEST","STAR JONES"
"2291","KIM KARDASHIAN WEST","CHARLENE ROXBOROUGH"
"2292","KIM KARDASHIAN WEST","KANYE WEST"
"2293","KIM KARDASHIAN WEST","PARIS JACKSO"
"2294","KIM KARDASHIAN WEST","ANASTASIA SOARE"
"2295","KIM KARDASHIAN WEST","STEVE STOUTE"
"2296","KIM KARDASHIAN WEST","NENE LEAKES"
"2297","KIM KARDASHIAN WEST","KATARINA KARDASHIAN"
"2298","KIM KARDASHIAN WEST","KARDASHIAN NAVY"
"2299","KIM KARDASHIAN WEST","SEAN PARKER"
"2300","KIM KARDASHIAN WEST","BRUNO SCHIAVI"
"2301","KIM KARDASHIAN WEST","BRAD JOHNSON"
"2302","KIM KARDASHIAN WEST","BITCH PROBLEMS _"
"2303","KIM KARDASHIAN WEST","FORBES WOMAN"
"2304","KIM KARDASHIAN WEST","TYLER PERRY"
"2305","KIM KARDASHIAN WEST","KIM KARDASHIAN FAN"
"2306","KIM KARDASHIAN WEST","NOUF AL MOAJIL"
"2307","KIM KARDASHIAN WEST","THE NOTEBOOK"
"2308","KIM KARDASHIAN WEST","DAVID GRUTMAN"
"2309","KIM KARDASHIAN WEST","JONATHAN CHEBAN"
"2310","KIM KARDASHIAN WEST","LOREN RIDINGER"
"2311","KIM KARDASHIAN WEST","BRANDON JENNER"
"2312","KIM KARDASHIAN WEST","PEOPLE MAGAZINE"
"2313","KIM KARDASHIAN WEST","SCOTT SARTIANO"
"2314","KIM KARDASHIAN WEST","KEN PAVES"
"2315","KIM KARDASHIAN WEST","SOFIA VERGARA"
"2316","KIM KARDASHIAN WEST","SUGAR RAY LEONARD"
"2317","KIM KARDASHIAN WEST","ZOE WINKLER"
"2318","KIM KARDASHIAN WEST","KHADIJAH HAQQ MCCRAY"
"2319","KIM KARDASHIAN WEST","MARIO DEDIVANOVIC"
"2320","KIM KARDASHIAN WEST","MALIKA"
"2321","KIM KARDASHIAN WEST","ELIZABETH TAYLOR"
"2322","KIM KARDASHIAN WEST","RACHEL ROY"
"2323","KIM KARDASHIAN WEST","KYLIE JENNER"
"2324","KIM KARDASHIAN WEST","TRACY NGUYEN ROMULUS"
"2325","KIM KARDASHIAN WEST","CASSIE"
"2326","KIM KARDASHIAN WEST","DASH NYC"
"2327","KIM KARDASHIAN WEST","DASH MIAMI"
"2328","KIM KARDASHIAN WEST","CARMELO ANTHONY"
"2329","KIM KARDASHIAN WEST","GUNNAR PETERSON"
"2330","KIM KARDASHIAN WEST","LARSA PIPPEN"
"2331","KIM KARDASHIAN WEST","KARDASHIAN411 "
"2332","KIM KARDASHIAN WEST","IRVING AZOFF "
"2333","KIM KARDASHIAN WEST","SHEIVA GHASEMZADEH"
"2334","KIM KARDASHIAN WEST","KENDALL JENNER"
"2335","KIM KARDASHIAN WEST","JOYCE BONELLI "
"2336","KIM KARDASHIAN WEST","GEORGE KESHISHYAN"
"2337","KIM KARDASHIAN WEST","GARTH FISHER, M.D."
"2338","KIM KARDASHIAN WEST","NICK SAGLIMBENI"
"2339","KIM KARDASHIAN WEST","NICOLE RICHIE"
"2340","KIM KARDASHIAN WEST","SCOTT DISICK"
"2341","KIM KARDASHIAN WEST","DASH BOUTIQUE"
"2342","KIM KARDASHIAN WEST","CARLA D."
"2343","KIM KARDASHIAN WEST","JESSICA ALBA"
"2344","KIM KARDASHIAN WEST","MONICA ROSE"
"2345","KIM KARDASHIAN WEST","ROBSCHEPPY"
"2346","KIM KARDASHIAN WEST","SIMON HUCK"
"2347","KIM KARDASHIAN WEST","JENNIFER LOPEZ"
"2348","KIM KARDASHIAN WEST","LAMAR ODOM"
"2349","KIM KARDASHIAN WEST","ROBIN ANTIN"
"2350","KIM KARDASHIAN WEST","ROXY SOWLATY"
"2351","KIM KARDASHIAN WEST","US WEEKLY"
"2352","KIM KARDASHIAN WEST","JASON BINN"
"2353","KIM KARDASHIAN WEST","MIKE SNEDEGAR"
"2354","KIM KARDASHIAN WEST","SIMONE HAROUCHE"
"2355","KIM KARDASHIAN WEST","COURTENAY SEMEL"
"2356","KIM KARDASHIAN WEST","LA LA "
"2357","KIM KARDASHIAN WEST","CIARA"
"2358","KIM KARDASHIAN WEST","KHLO "
"2359","KIM KARDASHIAN WEST","SERENA WILLIAMS"
"2360","KIM KARDASHIAN WEST","KELENDRIA ROWLAND"
"2361","KIM KARDASHIAN WEST","BRODY JENNER"
"2362","KIM KARDASHIAN WEST","BRITT"
"2363","KIM KARDASHIAN WEST","ROBERT KARDASHIAN"
"2364","KIM KARDASHIAN WEST","ANGIE MARTINEZ"
"2365","KIM KARDASHIAN WEST","PEREZ HILTON"
"2366","KIM KARDASHIAN WEST","KRIS JENNER"
"2367","KIM KARDASHIAN WEST","RYAN SEACREST"
"2368","KIM KARDASHIAN WEST","KOURTNEY KARDASHIAN"
"2369","P!NK","ADELE"
"2370","P!NK","LIEV SCHREIBER"
"2371","P!NK","V.F. HOLLYWOOD"
"2372","P!NK","KEN ROCZEN"
"2373","P!NK","NFL"
"2374","P!NK","GABRIEL MACHT"
"2375","P!NK","HARVEY SPECTER FANS"
"2376","P!NK","AARON KORSH"
"2377","P!NK","CLARE TURTON DERRICO"
"2378","P!NK","PORTIA DE ROSSI"
"2379","P!NK","KEVIN MCKIDD"
"2380","P!NK","SANDRA OH"
"2381","P!NK","SARA RAMIREZ"
"2382","P!NK","CAMILLA LUDDINGTON"
"2383","P!NK","JUSTIN CHAMBERS"
"2384","P!NK","FOSTER THE PEOPLE"
"2385","P!NK","BASTILLE"
"2386","P!NK","AMY SMART"
"2387","P!NK","SELMA BLAIR"
"2388","P!NK","STEVEN TYLER"
"2389","P!NK","TABLAS CREEK "
"2390","P!NK","BONNY DOON VINEYARD"
"2391","P!NK","PASO RHONE RANGERS"
"2392","P!NK","LA TIMES EVENTS"
"2393","P!NK","PEACHY CANYON WINERY"
"2394","P!NK","MARTIAN WINES"
"2395","P!NK","SANTA BARBARA WINES"
"2396","P!NK","WOMENSWINENIGHT.COM"
"2397","P!NK","JUSTIN LOWE, CSW"
"2398","P!NK","ELIZABETH BANKS"
"2399","P!NK","FORBES"
"2400","P!NK","SELF MAGAZINE"
"2401","P!NK","WOMEN'S HEALTH"
"2402","P!NK","VANITY FAIR"
"2403","P!NK","COSMOPOLITAN"
"2404","P!NK","GLAMOUR"
"2405","P!NK","HEAD REGAL"
"2406","P!NK","MICHAELINE DEJORIA"
"2407","P!NK","HAYDEN PANETTIERE"
"2408","P!NK","SAM PALLADIO"
"2409","P!NK","MAGGIE DINOME MD"
"2410","P!NK","MACKLEMORE"
"2411","P!NK","JENNIFER LAWRENCE"
"2412","P!NK","JOEY FATONE"
"2413","P!NK","OLIVIA NEWTON-JOHN"
"2414","P!NK","GABRIELLE UNION"
"2415","P!NK","WINE BIZ RADIO"
"2416","P!NK","USA TODAY"
"2417","P!NK","KERRY WASHINGTON"
"2418","P!NK","HILLARY CLINTON"
"2419","P!NK","JANE LYNCH"
"2420","P!NK","JON STATES"
"2421","P!NK","TEGAN AND SARA"
"2422","P!NK","SARAH HYLAND"
"2423","P!NK","ROSIE"
"2424","P!NK","LA REID"
"2425","P!NK","BALLET BODIES"
"2426","P!NK","JAMES MOLESWORTH"
"2427","P!NK","WINE ENTHUSIAST"
"2428","P!NK","CLARE BOWEN"
"2429","P!NK","WINE SPECTATOR"
"2430","P!NK","TALLYWOOD"
"2431","P!NK","JULIETTE LEWIS"
"2432","P!NK","ROBERT M PARKER, JR"
"2433","P!NK","ERIC ASIMOV"
"2434","P!NK","JON BONNE"
"2435","P!NK","WEST OF WEST WINE"
"2436","P!NK","JAMES BLANCHARD "
"2437","P!NK","UNICEF"
"2438","P!NK","OXFAM INTERNATIONAL"
"2439","P!NK","CHARITY: WATER"
"2440","P!NK","WINE PORTFOLIO"
"2441","P!NK","CYNDI LAUPER"
"2442","P!NK","2 WATER:WINE CHARITY"
"2443","P!NK","FOOD&WINE"
"2444","P!NK","WINEBUSINESS.COM"
"2445","P!NK","CATENA WINES"
"2446","P!NK","WIRRA WIRRA VINEYARD"
"2447","P!NK","PETER LEHMANN WINES"
"2448","P!NK","ROBERTMONDAVIWINERY"
"2449","P!NK","FOOD AND TRAVEL "
"2450","P!NK","WINES & VINES"
"2451","P!NK","JORDAN WINE ESTATE"
"2452","P!NK","SLOW FOOD USA"
"2453","P!NK","WINE NEWS"
"2454","P!NK","DECANTER"
"2455","P!NK","WINE RESTAURANTS"
"2456","P!NK","WINEOGRAPHY"
"2457","P!NK","NEW YORK TIMES WORLD"
"2458","P!NK","LOS ANGELES TIMES"
"2459","P!NK","WINEMAPS"
"2460","P!NK","TIM ATKIN"
"2461","P!NK","VH1"
"2462","P!NK","DR. STEVE MARABOLI"
"2463","P!NK","DREW BARRYMORE"
"2464","P!NK","GUILLERMO DIAZ"
"2465","P!NK","TAYLANEWY!"
"2466","P!NK","JACKIE HUTCHINS"
"2467","P!NK","DEBORAH ANDERSON"
"2468","P!NK","HUMANRIGHTSCAMPAIGN"
"2469","P!NK","TODAY "
"2470","P!NK","ENTERTAINMENT WEEKLY"
"2471","P!NK","JIMMY SLONINA"
"2472","P!NK","RUBIXVONFCHENHRTZ"
"2473","P!NK","REMI BAKKAR"
"2474","P!NK","BILL MURRAY"
"2475","P!NK","BILLY CRYSTAL"
"2476","P!NK","SETH ROGEN"
"2477","P!NK","NANCY PELOSI "
"2478","P!NK","PINK HISTORY"
"2479","P!NK","JEFF ROSS"
"2480","P!NK","WORLD CUP 2014"
"2481","P!NK","FITNESS MOTIVATION"
"2482","P!NK","GOLDIE HAWN"
"2483","P!NK","DIANE KEATON"
"2484","P!NK","SHERYL CROW"
"2485","P!NK","STELLA MCCARTNEY"
"2486","P!NK","NEIL PATRICK HARRIS"
"2487","P!NK","THE HIVES"
"2488","P!NK","JESSICA ALBA"
"2489","P!NK","TASTINGTABLE LA"
"2490","P!NK","THRILLIST LA"
"2491","P!NK","FORMERLY GRUB LA"
"2492","P!NK","RICKY GERVAIS"
"2493","P!NK","TACO MAN"
"2494","P!NK","JAMIE FOXX"
"2495","P!NK","CHRIS UNCK"
"2496","P!NK","BILLY EICHNER"
"2497","P!NK","DEEPAK CHOPRA"
"2498","P!NK","ANDREW MACPHERSON"
"2499","P!NK","CHRISTINA PERRI"
"2500","P!NK","CHAD REED"
"2501","P!NK","JANELLE GINESTRA"
"2502","P!NK","LORIEL HENNINGTON"
"2503","P!NK","CINDY CRAWFORD"
"2504","P!NK","CHRISTINE TEIGEN"
"2505","P!NK","PINK'S EUROPEAN TEAM"
"2506","P!NK","KELLY OSBOURNE"
"2507","P!NK","JUSTIN TIME"
"2508","P!NK","KIM"
